,Code,Type de Bâtiment,Local non chauffée,"Uv,ue"
0,TV002_001,Maison individuelle,Garage,3.0
1,TV002_002,Maison individuelle,Cellier,3.0
2,TV002_003,Maison individuelle,Véranda,3.0
3,TV002_004,Maison individuelle,Comble fortement ventilé,9.0
4,TV002_005,Maison individuelle,Comble faiblement ventilé,3.0
5,TV002_006,Maison individuelle,Sous-sols,3.0
6,TV002_007,Logement collectif,Circulation sans ouverture directe sur l'extérieur,0.0
7,TV002_008,Logement collectif,Circulation avec ouverture directe sur l'extérieur,3.0
8,TV002_009,Logement collectif,Circulation avec bouche ou gaine de désenfumage ouverte en permanence,3.0
9,TV002_010,Logement collectif,Hall d'entrée sans dispositif de fermeture automatique,3.0
10,TV002_011,Logement collectif,Hall d'entrée avec dispositif de fermeture automatique,0.3
11,TV002_012,Logement collectif,Garage privé collectif,3.0
12,TV002_013,Logement collectif,Autres dépendances,3.0
13,TV002_014,Logement collectif,Comble fortement ventilé,9.0
14,TV002_015,Logement collectif,Comble faiblement ventilé,3.0
15,TV002_016,Tous bâtiments,Sous-sols,3.0
